Algeria,6.39769480268749
Bangladesh,5.51352572692992
Brazil,8.73914352329393
Burundi,5.55768961400965
Colombia,7.51346024627683
Eswatini,7.84727459085681
Ethiopia,6.62813337230928
"Gambia, The",7.22879272057922
Guinea,8.17268112275131
"Iran, Islamic Rep.",7.24542548952983
Kenya,6.29715752456274
Lesotho,6.59650490696543
Liberia,8.83424868336493
Madagascar,6.03575858154682
Moldova,6.35930898037935
Myanmar,6.92882525816124
Namibia,6.72858234593346
Nepal,8.79034332004629
Papua New Guinea,6.67372881355933
Russian Federation,7.04244762954798
Rwanda,7.17434301982013
Sao Tome and Principe,5.43051966119159
South Africa,6.57139642173959
Suriname,55.4123879763194
Tajikistan,6.00458082322154
Tanzania,5.17476629301494
Turkiye,7.77513415328334
Uganda,5.70637504616216
Uruguay,9.63941347635073
Uzbekistan,8.13088669523599
